Function                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                         Function (Full)                                                                                                                                                                                                                                                                                                                                                                                              Source File                Start Address
Eigen::internal::aligned_stack_memory_handler<double>::{dtor}                                                                                                                                                                                      0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::aligned_stack_memory_handler<double>::{dtor}                                                                                                                                                                                                                                                                                                                                                Memory.h                   0x14017a517  
Eigen::internal::pmul                                                                                                                                                                                                                              0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::pmul                                                                                                                                                                                                                                                                                                                                                                                        PacketMath.h               0x140086880  
Eigen::internal::redux_impl<Eigen::internal::scalar_sum_op<double,double>,Eigen::internal::redux_evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs2_op<double>,Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,1,-1,0> const > >,0,0>::run    0.015s                   0.015s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::redux_impl<Eigen::internal::scalar_sum_op<double,double>,Eigen::internal::redux_evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs2_op<double>,Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,1,-1,0> const > >,0,0>::run                                                                                                                                                              Redux.h                    0x14010106e  
Eigen::internal::get_runtime_value<__int64>                                                                                                                                                                                                        0.015s                   0.015s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::get_runtime_value<__int64>(__int64 const & __ptr64)                                                                                                                                                                                                                                                                                                                                         IntegralConstant.h         0x1401ba950  
Eigen::internal::general_matrix_vector_product<__int64,double,class Eigen::internal::const_blas_data_mapper<double,__int64,0>,0,0,double,class Eigen::internal::const_blas_data_mapper<double,__int64,1>,0,0>::run                                 0.015s                   0.015s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::general_matrix_vector_product<__int64,double,class Eigen::internal::const_blas_data_mapper<double,__int64,0>,0,0,double,class Eigen::internal::const_blas_data_mapper<double,__int64,1>,0,0>::run(__int64,__int64,class Eigen::internal::const_blas_data_mapper<double,__int64,0> const &,class Eigen::internal::const_blas_data_mapper<double,__int64,1> const &,double *,__int64,double)  GeneralMatrixVector.h      0x140136aa0  
Eigen::internal::triangular_solver_unroller<Eigen::Matrix<double,3,3,0,3,3> const ,Eigen::Matrix<double,3,1,0,3,1>,1,1,3,0>::run                                                                                                                   0.015s                   0.015s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::triangular_solver_unroller<Eigen::Matrix<double,3,3,0,3,3> const ,Eigen::Matrix<double,3,1,0,3,1>,1,1,3,0>::run                                                                                                                                                                                                                                                                             SolveTriangular.h          0x14019e4cf  
malloc_base                                                                                                                                                                                                                                        0.015s                   0.015s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  ucrtbase.dll                   malloc_base                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]                  0x180010100  
Eigen::internal::triangular_solver_selector<Eigen::Transpose<Eigen::Matrix<double,3,3,0,3,3> const > const ,Eigen::Matrix<double,3,3,0,3,3>,1,2,0,-1>::run                                                                                         0.015s                   0.015s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::triangular_solver_selector<Eigen::Transpose<Eigen::Matrix<double,3,3,0,3,3> const > const ,Eigen::Matrix<double,3,3,0,3,3>,1,2,0,-1>::run                                                                                                                                                                                                                                                   SolveTriangular.h          0x1401b9fe9  
Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs_op<double>,Eigen::Block<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const >::{ctor}                                                                                                0.007s                   0.007s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs_op<double>,Eigen::Block<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const >::{ctor}                                                                                                                                                                                                                                                          CwiseUnaryOp.h             0x1401bc85f  
Eigen::internal::gemm_pack_rhs<double,__int64,class Eigen::internal::blas_data_mapper<double,__int64,0,0,1>,4,0,0,1>::operator()                                                                                                                   0.005s                   0.005s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::gemm_pack_rhs<double,__int64,class Eigen::internal::blas_data_mapper<double,__int64,0,0,1>,4,0,0,1>::operator()(double *,class Eigen::internal::blas_data_mapper<double,__int64,0,0,1> const &,__int64,__int64,__int64,__int64)                                                                                                                                                             GeneralBlockPanelKernel.h  0x14016bb30  
Eigen::internal::predux                                                                                                                                                                                                                            0.004s                   0.004s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::predux                                                                                                                                                                                                                                                                                                                                                                                      PacketMath.h               0x1401bf228  
func@0x180036137                                                                                                                                                                                                                                   0.002s                   0.000s              0.002s                                               0s                                  0s                    0.002s                      0s                               0s                                 0s                                0s                              0s                            0s  MSVCP140.dll                   func@0x180036137                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]                  0x180036137
vtune: Using result path `C:\Users\27118\Desktop\Imperial\abstraction-recovery\cpp\tmp\vtune_hotspots_script_regression'
vtune: Executing actions  0 %                                                  vtune: Executing actions  0 % Finalizing results                               vtune: Executing actions 50 % Finalizing results                               vtune: Executing actions 50 % Generating a report                              vtune: Executing actions 50 % Setting data model parameters                    vtune: Executing actions 75 % Setting data model parameters                    vtune: Executing actions 75 % Generating a report                              vtune: Executing actions 100 % Generating a report                             vtune: Executing actions 100 % done
