outer,trial,accepted,lambda,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,scale,rho,step_norm,linear_residual_norm
28,1,True,2316.340188725614,169091.52360923274,168600.7313646641,490.79224456864176,1608.8403844996662,0.30505962511705187,0.5828878117485645,7.202804259948577e-10
29,1,False,1544.2267924837427,168600.7313646641,171479.22471821497,-2878.4933535508753,5577.742435294051,-0.5160678154187888,1.2962564716753662,1.092580069929077e-09
29,2,False,3088.4535849674853,168600.7313646641,168720.19719662925,-119.46583196514985,3078.247946129156,-0.03880968461795811,0.691654821338237,1.5299207926705425e-10
29,3,True,12353.814339869941,168600.7313646641,168302.86366938427,297.8676952798269,842.232092326432,0.35366462284410244,0.18358005811780131,8.497158943768671e-11
30,1,True,8235.87622657996,168302.86366938427,168118.49000699903,184.37366238524555,383.69840438541985,0.4805171464826961,0.15236737335870232,3.8585067469610785e-11
31,1,True,5490.584151053306,168118.49000699903,167852.7766613131,265.71334568591556,532.9702138510731,0.49855196178029443,0.2198658185752848,2.0891184874258753e-10
32,1,True,3660.3894340355373,167852.7766613131,167462.35323279715,390.42342851596186,783.4009062252358,0.49836989645211255,0.32629861394219256,2.6482648044458584e-10
33,1,True,2440.259622690358,167462.35323279715,166894.77637310498,567.5768596921698,1147.7774275823285,0.4945008030761768,0.4831231737973017,2.4530042921659484e-10
34,1,True,1626.8397484602385,166894.77637310498,166136.23272241163,758.5436506933474,1729.8234007319354,0.43850930122253345,0.7251824382199925,1.012996089683822e-09
35,1,False,1084.5598323068257,166136.23272241163,168069.8136283024,-1933.5809058907616,4273.531090979344,-0.4524550926918967,1.3598979031742542,5.236456189260634e-10
35,2,False,2169.1196646136514,166136.23272241163,166202.52325953817,-66.29053712653695,2331.4655580161166,-0.028432990098701986,0.719206477342623,7.381877730083782e-11
35,3,True,8676.478658454605,166136.23272241163,165912.56476726796,223.66795514366822,635.0640213857657,0.35219749129482253,0.19021899953129098,1.506263531421185e-10
36,1,True,5784.319105636403,165912.56476726796,165684.22701645741,228.33775081054773,466.83744731635755,0.48911618406612556,0.20060137653504415,4.395316140026363e-11
37,1,True,3856.212737090935,165684.22701645741,165348.36026447068,335.8667519867304,682.0619078898941,0.4924285436578723,0.29678389012472584,2.793002587278125e-10
38,1,True,2570.8084913939565,165348.36026447068,164862.9534905007,485.4067739699967,1020.6407570939405,0.47559023152484153,0.44431987990132366,5.063097269642926e-10
39,1,True,1713.872327595971,164862.9534905007,164347.0404413601,515.9130491405958,1702.6163947615303,0.3030119119773042,0.6983813486409983,6.742879110922456e-10
40,1,False,1142.5815517306473,164347.0404413601,171760.4128260498,-7413.372384689719,7529.52107495629,-0.9845742260217732,1.7235952249730138,5.980098126509345e-10
40,2,False,2285.1631034612947,164347.0404413601,165495.92643968738,-1148.885998327285,4314.614164357378,-0.26627780713699134,0.9428585387714733,1.3706129760981219e-10
40,3,True,9140.652413845179,164347.0404413601,163990.5000370815,356.54040427858126,1229.2636778603032,0.290043878054859,0.2570983479253374,1.0213992623895199e-10
41,1,True,6093.768275896786,163990.5000370815,163787.76434747383,202.7356896076817,414.468939534147,0.48914567599577347,0.18416866785450794,1.9781486068555194e-11
42,1,True,4062.5121839311905,163787.76434747383,163488.65436585998,299.10998161384487,605.5418924102921,0.49395423398911487,0.27264071712418725,6.573045004955249e-11
43,1,True,2708.341455954127,163488.65436585998,163050.65367557263,438.00069028735743,902.9028607246448,0.4851027827465628,0.4073259279060638,2.5691015191325686e-10
44,1,True,1805.5609706360847,163050.65367557263,162493.65420471062,556.999470862007,1435.3405720472847,0.3880608419418786,0.6272432996046007,5.198155429200282e-10
45,1,False,1203.7073137573898,162493.65420471062,165025.4189108267,-2531.7647061160824,4391.012044599704,-0.5765788570837056,1.3037035185582164,3.6279849757701414e-10
45,2,False,2407.4146275147796,162493.65420471062,162692.11154910852,-198.4573443979025,2418.1012394023287,-0.08207156142352183,0.6941405299043463,9.306737058452686e-11
45,3,True,9629.658510059118,162493.65420471062,162268.12563649422,225.5285682163958,662.824773476987,0.3402536797671852,0.1844103894354806,3.049141087825126e-11
46,1,True,6419.772340039412,162268.12563649422,162086.35705489843,181.7685815957957,363.8342857112084,0.4995916787789306,0.16822189320627542,2.3051647703231638e-11
47,1,True,4279.84822669294,162086.35705489843,161815.68837728028,270.668677618145,541.4607322637798,0.4998860701985036,0.25126315817656253,1.1948148687924463e-10
48,1,True,2853.232151128627,161815.68837728028,161413.8526607208,401.83571655949345,804.1798217954455,0.4996839085844485,0.3748818036285984,1.0541727342101605e-10
49,1,True,1902.1547674190845,161413.8526607208,160821.0858936317,592.7667670890805,1190.5411701161247,0.49789690769892686,0.5582552346744593,2.7415764959790775e-10
50,1,True,1268.1031782793896,160821.0858936317,159995.07031357402,826.0155800576904,1786.5189032867095,0.4623603917865331,0.8362798875658224,3.967372410651596e-10
51,1,False,845.4021188529264,159995.07031357402,161794.4946332037,-1799.4243196296738,4035.8244441801635,-0.4458628824215887,1.4987193855544239,5.269667827413595e-10
51,2,False,1690.8042377058528,159995.07031357402,160105.30815274635,-110.23783917233231,2194.1764534203867,-0.050241100254488795,0.7902485819800438,1.3503862899038918e-10
51,3,True,6763.216950823411,159995.07031357402,159792.03215049815,203.03816307586385,598.1754775060496,0.33942909850197,0.20904515988434744,1.274358749531012e-10
52,1,True,4508.81130054894,159792.03215049815,159551.09307641763,240.93907408052473,554.7495795744579,0.4343204266424976,0.24735501500359985,3.1047824320401653e-11
53,1,True,3005.87420036596,159551.09307641763,159221.55305125695,329.54002516067703,837.3902468112874,0.39353219889476637,0.37151883771509225,2.9621360952248317e-10
54,1,True,2003.9161335773065,159221.55305125695,159096.81241143213,124.74063982482767,1731.3604942949366,0.07204775679927126,0.647510773729345,2.456968523554073e-10
55,1,False,1335.9440890515375,159096.81241143213,170114.7941517565,-11017.98174032438,10646.612156748564,-1.034881479489268,1.874759196116616,4.3782626778968397e-10
55,2,False,2671.888178103075,159096.81241143213,160617.48381308778,-1520.6714016556507,6256.412093220561,-0.24305806251213025,1.0449218527435893,1.3581556952592265e-10
55,3,True,10687.5527124123,159096.81241143213,158550.65627459588,546.1561368362454,1815.5801564119931,0.30081631753211957,0.2886717363969623,1.5100905016358056e-11
56,1,True,7125.035141608199,158550.65627459588,158398.0907672122,152.56550738366786,317.9047475335148,0.47990949668841854,0.14919093944379064,1.6505691054547754e-11
57,1,True,4750.023427738799,158398.0907672122,158175.15538981764,222.9353773945768,449.0493786635166,0.49646071899283833,0.21724892591660197,1.0048640080437401e-10
58,1,True,3166.682285159199,158175.15538981764,157844.05027518547,331.1051146321697,668.3685614191754,0.4953930117974432,0.3244902635341435,1.1039281749135264e-10
59,1,True,2111.121523439466,157844.05027518547,157362.57315679896,481.47711838650866,1007.1444630950568,0.47806162475131003,0.4874211186267051,9.473285659150645e-11
60,1,True,1407.4143489596438,157362.57315679896,156915.87022146065,446.70293533831136,1728.8854590869714,0.2583762463791073,0.7762940150323036,1.1006585255424323e-10
61,1,False,938.2762326397625,156915.87022146065,170740.1411898671,-13824.270968406461,9577.121112605619,-1.4434683247568676,2.100842779035229,2.674024504599123e-10
61,2,False,1876.552465279525,156915.87022146065,159538.17980545489,-2622.30958399424,5745.4765067157405,-0.45641289820419406,1.1859759868690787,5.309765508299449e-11
61,3,True,7506.2098611181,156915.87022146065,156506.07575572285,409.7944657377957,1719.4446351277081,0.2383295497661424,0.33435159548534893,3.3952338429672845e-11
62,1,True,5004.139907412066,156506.07575572285,156297.57749315244,208.49826257041423,545.5875484921395,0.38215363079060105,0.2323950626312818,3.031674486193327e-11
63,1,True,3336.0932716080442,156297.57749315244,156020.63246883353,276.9450243189058,749.7355174826145,0.36939029545886204,0.3335430028156527,4.165446203013624e-11
64,1,True,2224.0621810720295,156020.63246883353,155855.72419436523,164.90827446829644,1472.2746918245325,0.11200917558661017,0.5671393545553347,1.0181859186995496e-10
65,1,False,1482.7081207146862,155855.72419436523,161120.7952670861,-5265.071072720864,7336.531634584415,-0.7176512465238092,1.4902331131749509,1.7086395721700987e-10
65,2,False,2965.4162414293723,155855.72419436523,156400.35245258585,-544.6282582206186,4227.222009581983,-0.12883833803526093,0.8193395518522067,4.6644663069339155e-11
65,3,True,11861.66496571749,155855.72419436523,155459.86772297,395.85647139523644,1202.4772638209852,0.32920079514631745,0.22330642172857654,1.4917967696204716e-11
66,1,True,7907.77664381166,155459.86772297,155322.50390617832,137.3638167916797,307.1967136983932,0.4471526245770454,0.13907852518020955,6.657347342922894e-12
67,1,True,5271.851095874439,155322.50390617832,155134.11141712937,188.3924890489434,379.2169256936198,0.496793461168321,0.18952457494678251,3.8244935195785483e-11
68,1,True,3514.567397249626,155134.11141712937,154853.62390280594,280.4875143234385,563.9253971820507,0.4973840790378331,0.283016666808637,5.5775562671928205e-11
69,1,True,2343.0449314997504,154853.62390280594,154439.05456622055,414.56933658538037,843.3081405430996,0.49159887905077404,0.42360812987976026,1.646976240264044e-10
70,1,True,1562.0299543331669,154439.05456622055,153883.26150500873,555.7930612118216,1313.9158694673679,0.4230050600097613,0.6460102222970744,1.1992361873454274e-10
71,1,False,1041.3533028887778,153883.26150500873,155518.6791364046,-1635.4176313958596,3507.2877483348857,-0.46629126229300344,1.2538422359342085,4.703006743514139e-10
71,2,False,2082.7066057775555,153883.26150500873,153973.066477879,-89.80497287027538,1926.7293645554644,-0.04661006082242132,0.6661930852765534,5.4591125273186206e-11
71,3,True,8330.826423110222,153883.26150500873,153700.84566116706,182.415843841678,528.2725755174206,0.3453062912891312,0.1769791291944996,3.3399484997505355e-11
72,1,True,5553.884282073481,153700.84566116706,153527.3534567806,173.49220438644988,351.9022038594378,0.4930125542940584,0.17787170624672594,3.323024440012143e-11
73,1,True,3702.5895213823205,153527.3534567806,153269.5329982686,257.82045851199655,519.8943252297047,0.4959093531134117,0.26474562785581107,7.098128548011987e-11
74,1,True,2468.39301425488,153269.5329982686,152888.74373075354,380.78926751506515,779.0386225164389,0.4887938242202233,0.3967234504969992,6.604687799850876e-11
75,1,True,1645.5953428365867,152888.74373075354,152381.58925856967,507.1544721838727,1222.5940047281435,0.41481838633475365,0.6068081586387154,1.2319421740801285e-10
76,1,False,1097.0635618910578,152381.58925856967,153728.5767352376,-1346.9874766679422,3288.6235261435345,-0.40959005065791526,1.183308581895016,1.9819992117600188e-10
76,2,False,2194.1271237821156,152381.58925856967,152414.6736303043,-33.084371734643355,1805.1059189769142,-0.018328216304002092,0.6284367341735893,4.55355032046384e-11
76,3,True,8776.508495128463,152381.58925856967,152207.2767639722,174.31249459748506,494.1995787426131,0.35271680125868693,0.1667955774944774,3.1982860650499233e-11
77,1,True,5851.005663418975,152207.2767639722,152047.6768192744,159.5999446977803,320.0639762689764,0.49865013413335585,0.1653036121818227,1.3763376464709992e-11
78,1,True,3900.6704422793164,152047.6768192744,151809.53359472143,238.14322455297224,476.8477325769529,0.499411464674504,0.2470807864992371,3.8300378518517e-11
79,1,True,2600.446961519544,151809.53359472143,151454.89997593316,354.6336187882698,711.054895209421,0.4987429538528422,0.36940142595368075,9.813843968009608e-11
80,1,True,1733.631307679696,151454.89997593316,150932.9787132694,521.92126266376,1062.971364589088,0.4910021850546451,0.5528215444262655,7.099342767503993e-11
81,1,True,1155.7542051197972,150932.9787132694,150323.06941938886,609.9092938805406,1697.6585077072323,0.3592650059547322,0.8511229486750206,1.7279997203930364e-10
82,1,False,770.5028034131981,150323.06941938886,159966.26413224818,-9643.194712859316,7127.334638161706,-1.3529875054872553,2.002210377731527,1.4684018434187298e-10
82,2,False,1541.0056068263962,150323.06941938886,152375.84980922236,-2052.780389833497,4263.600313380764,-0.48146642249535165,1.126553942964783,6.513980955599192e-11
82,3,True,6164.022427305585,150323.06941938886,150037.74962273118,285.3197966576845,1281.1561953932735,0.2227049267557111,0.31829133399315435,2.942314864959626e-11
83,1,True,4109.34828487039,150037.74962273118,149829.2786864251,208.47093630608288,722.4912546957237,0.2885445809221319,0.2939047699823807,4.039189927114238e-11
84,1,True,2739.565523246926,149829.2786864251,149646.5971195447,182.68156688040472,1157.4137020242624,0.1578360153857719,0.45326891910430656,4.6510645861959874e-11
85,1,False,1826.3770154979507,149646.5971195447,151037.48427997183,-1390.8871604271408,3851.1646806829785,-0.361160136154052,0.9887422980521182,7.7422080329608e-11
85,2,True,3652.7540309959013,149646.5971195447,149552.67670114263,93.92041840206366,2134.77846508929,0.04399539340403423,0.5295236388974521,2.444008184610836e-11
86,1,False,2435.1693539972675,149552.67670114263,150643.6338065486,-1090.957105405978,4771.0575056246835,-0.22866148733689112,0.9526234463135737,8.916588475230041e-11
86,2,True,4870.338707994535,149552.67670114263,149245.06735396394,307.60934717868804,2648.0862799656843,0.11616288695195923,0.5108948904639381,3.529816285334579e-11
87,1,False,3246.8924719963566,149245.06735396394,149290.33066067623,-45.26330671229516,2541.760973636978,-0.017807853366923164,0.6108492313944532,2.3802662235107103e-11
87,2,True,6493.784943992713,149245.06735396394,148933.41128330617,311.65607065777294,1359.7399738773554,0.22920269804900464,0.3195147687495962,2.6929012297376477e-11
88,1,True,4329.189962661809,148933.41128330617,148731.36003840656,202.05124489960144,617.9203077521809,0.3269859274161205,0.26522870569188506,3.409549349455642e-11
89,1,True,2886.126641774539,148731.36003840656,148501.38937222856,229.97066617800738,906.1244938296255,0.25379588317501955,0.392125634444484,8.81626582957563e-11
90,1,False,1924.0844278496927,148501.38937222856,148898.78140318592,-397.39203095735866,2380.8809287314252,-0.16690966194982965,0.7641611893029983,1.143260439064082e-10
90,2,True,3848.1688556993854,148501.38937222856,148323.7160975915,177.67327463705442,1290.3738527388298,0.13769131655910521,0.40296313386660704,3.148818473453766e-11
91,1,False,2565.4459037995903,148323.7160975915,148540.14875611247,-216.43265852096374,2404.3835009678087,-0.09001586412227733,0.6667517005764376,1.331472030487883e-10
91,2,True,5130.8918075991805,148323.7160975915,148080.3848355499,243.3312620416109,1294.5164686959422,0.18797077358678616,0.3501938598163868,2.6262727630893353e-11
92,1,True,3420.5945383994535,148080.3848355499,147909.33835218634,171.04648336354876,1165.4424913427374,0.14676527124601535,0.4064680027069832,5.1350719578239286e-11
93,1,False,2280.3963589329687,147909.33835218634,148341.13124676936,-431.7928945830208,2703.1921482597713,-0.15973444390958122,0.7473818091701112,4.490832954392532e-11
93,2,True,4560.792717865937,147909.33835218634,147689.39265633633,219.94569585000863,1467.9628585676785,0.14983055910870535,0.394797441212598,4.415757975818291e-11
94,1,True,3040.5284785772915,147689.39265633633,147640.01514925933,49.37750707700616,1771.6372458322692,0.027871115937060743,0.5282602821236152,2.7859972508313315e-11
95,1,False,2027.0189857181942,147640.01514925933,149715.16301693194,-2075.147867672611,5637.082177328784,-0.368124466238658,1.1274572318915697,1.0343226038151672e-10
95,2,True,4054.0379714363885,147640.01514925933,147490.51034987502,149.50479938430362,3179.7560495385633,0.047017694771270054,0.6113664721784373,3.5550856976663645e-11
96,1,False,2702.691980957592,147490.51034987502,148337.32784053741,-846.8174906623899,5070.036824971181,-0.16702393294100054,0.9317792900399368,7.70544049384655e-11
96,2,True,5405.383961915184,147490.51034987502,147072.1416692518,418.36868062321446,2816.907681348217,0.14852055088400218,0.5001545745692136,3.860027756545565e-11
97,1,True,3603.589307943456,147072.1416692518,146946.82449390236,125.31717534945346,1733.450204140375,0.07229349597128967,0.4808581138425962,7.202923821810061e-11
98,1,False,2402.3928719623036,146946.82449390236,147673.01846104386,-726.1939671415021,3743.769948092322,-0.1939739826993221,0.8516225578899141,4.5339992560000845e-11
98,2,True,4804.785743924607,146946.82449390236,146672.9917390235,273.8327548788511,2065.542619232858,0.1325718251122567,0.45483643454721817,1.9882276554318013e-11
99,1,True,3203.190495949738,146672.9917390235,146636.59401338611,36.39772563739098,1989.7368483758971,0.018292733366776746,0.5449214782245795,2.6406247332588778e-11
100,1,False,2135.4603306331583,146636.59401338611,148431.49906576853,-1794.9050523824117,5650.9531433963975,-0.317628726842286,1.09802695501513,6.622710512019331e-11
100,2,True,4270.9206612663165,146636.59401338611,146415.79612753927,220.79788584684138,3200.0434506934557,0.06899840244325246,0.5970542176184928,4.013097263968342e-11
