sweep,message_lam_delta_max_abs,belief_lam_delta_max_abs,message_lam_norm,belief_lam_norm
69,0.29436883839161965,0.299971494730471,173205084.82493544,173205134.30392662
70,0.2523249366811342,0.2519002966055268,173205084.8249465,173205134.30395287
71,0.2420599977524489,0.24516809576175547,173205084.82495406,173205134.30397412
72,0.20691543321026984,0.20713969078769878,173205084.82495943,173205134.30398756
73,0.18124086880879986,0.1815332532719367,173205084.82496303,173205134.30399722
74,0.17747599373433331,0.1768345641492033,173205084.82496575,173205134.3040045
75,0.1595713448323295,0.15960629531946324,173205084.82496768,173205134.3040097
76,0.15261883885978023,0.1525629519164795,173205084.82496887,173205134.30401292
77,0.14368006243239506,0.14369192230310546,173205084.8249697,173205134.30401567
78,0.12969954533218697,0.12971593705231044,173205084.82497057,173205134.30401796
79,0.07079957297901274,0.07083997534573427,173205084.82497108,173205134.30402008
80,0.02168367322337872,0.02169574107892913,173205084.82497156,173205134.30402255
81,0.011568531933789927,0.011633311040895933,173205084.82497185,173205134.304025
82,0.006540414547998807,0.006780793801908658,173205084.82497206,173205134.30402687
83,0.005721368769172841,0.005730887564368459,173205084.82497227,173205134.30402768
84,0.006265695514684921,0.006285692573328561,173205084.82497236,173205134.30402827
85,0.004990662750969932,0.005077130944300734,173205084.82497248,173205134.30402896
86,0.002701991240883217,0.0035973141766589833,173205084.8249727,173205134.30402946
87,0.0017088397739826178,0.0013972369433759013,173205084.82497275,173205134.30402976
88,0.00100328328244359,0.001005468099947393,173205084.82497284,173205134.30403015
89,0.0008837135396788653,0.0008885726670087024,173205084.82497287,173205134.30403033
90,0.0007742345778751769,0.0007768003827095527,173205084.8249729,173205134.30403048
91,0.0005584901407473808,0.0005599603912287421,173205084.82497293,173205134.30403063
92,0.0005228640084169456,0.0005240601353762031,173205084.82497296,173205134.30403075
93,0.00048338185297325253,0.00048378066821896937,173205084.82497296,173205134.3040308
94,0.00048828125,0.0004882473003817722,173205084.824973,173205134.30403087
95,0.00030692340806126595,0.0003068349324166775,173205084.824973,173205134.30403095
96,0.00048828125,0.00048825034173205495,173205084.824973,173205134.30403095
97,0.00034299917751923203,0.0003433754318393767,173205084.82497302,173205134.304031
98,0.00048828125,0.0004883166548097506,173205084.82497302,173205134.30403104
99,0.00048828125,0.0004883429501205683,173205084.82497305,173205134.30403104
100,0.00034193534520454705,0.0003426431503612548,173205084.82497305,173205134.30403104
101,0.00048828125,0.000488302088342607,173205084.82497305,173205134.30403107
102,0.00048828125,0.0004882814828306437,173205084.82497305,173205134.30403107
103,0.00048828125,0.00048824244004208595,173205084.82497305,173205134.3040311
104,0.00048828125,0.00048824505938682705,173205084.82497305,173205134.3040311
105,0.0002716854214668274,0.0002719595930500418,173205084.82497305,173205134.3040311
106,0.00048828125,0.0004883133806288242,173205084.82497305,173205134.3040311
107,0.00048828125,0.0004882757202722132,173205084.82497305,173205134.3040311
108,0.00034393963869661093,0.0003439482534304261,173205084.82497305,173205134.3040311
109,0.00048828125,0.0004882684734184295,173205084.82497305,173205134.3040311
110,0.00029273864174683695,0.0002927689815095391,173205084.82497305,173205134.3040311
111,0.00048828125,0.0004883491055807099,173205084.82497305,173205134.3040311
112,0.00048828125,0.0004882911744061857,173205084.82497305,173205134.30403113
113,0.00048828125,0.00048823663382790983,173205084.82497305,173205134.30403113
114,0.000396874500438571,0.0003968400415033102,173205084.82497305,173205134.30403113
115,0.000244140625,0.00024414260406047106,173205084.82497305,173205134.30403113
116,0.00048828125,0.000488327321363613,173205084.82497305,173205134.30403113
117,0.0003150646516587585,0.0003148821124341339,173205084.82497305,173205134.30403113
118,0.000244140625,0.00024410238256677985,173205084.82497305,173205134.30403113
119,0.00048828125,0.0004882814246229827,173205084.82497305,173205134.30403113
120,0.00048828125,0.0004883118090219796,173205084.82497305,173205134.30403113
121,0.0004992951871827245,0.0004992998437955976,173205084.82497305,173205134.30403113
122,0.0004992951871827245,0.0004995026392862201,173205084.82497305,173205134.30403113
123,0.00048828125,0.0004882439970970154,173205084.82497305,173205134.30403113
124,0.0006138551980257034,0.0006138889584690332,173205084.82497305,173205134.3040311
125,0.0009765625,0.0009765552676981315,173205084.82497305,173205134.3040311
126,0.0009765625,0.0009765350550878793,173205084.82497305,173205134.30403113
127,0.0005186274647712708,0.0005188831596001364,173205084.82497305,173205134.3040311
128,0.0005186274647712708,0.00051791661975642,173205084.82497305,173205134.30403113
129,0.0004993061302229762,0.0004992951871827245,173205084.82497305,173205134.3040311
130,0.00048828125,0.0004882817156612873,173205084.82497305,173205134.3040311
131,0.0003439438296481967,0.00034365395549684763,173205084.82497305,173205134.30403113
132,0.00048828125,0.00048819823132362217,173205084.82497305,173205134.30403113
133,0.00048828125,0.000488246267195791,173205084.82497305,173205134.30403113
134,0.00048828125,0.0004882704233750701,173205084.82497305,173205134.30403113
135,0.00048828125,0.0004882173961959779,173205084.82497305,173205134.3040311
136,0.00048828125,0.00048827588034328073,173205084.82497305,173205134.3040311
137,0.00048828125,0.0004882370849372819,173205084.82497305,173205134.3040311
138,0.00034192934981547296,0.0003414208476897329,173205084.82497305,173205134.3040311
139,0.00048828125,0.0004883194342255592,173205084.82497305,173205134.30403113
140,0.000732421875,0.0007324547623284161,173205084.82497305,173205134.30403113
141,0.000732421875,0.0007324525504373014,173205084.82497305,173205134.30403113
142,0.0007162758847698569,0.0007165394490584731,173205084.82497305,173205134.30403113
143,0.00048828125,0.0004883514629909769,173205084.82497305,173205134.30403113
144,0.00048828125,0.0004883580259047449,173205084.82497305,173205134.30403113
145,0.00048828125,0.0004882644134340808,173205084.82497305,173205134.3040311
146,0.0002770721912384033,0.0002768131790702455,173205084.82497305,173205134.3040311
147,0.00026668235659599304,0.00026609851089176573,173205084.82497305,173205134.3040311
148,0.00048828125,0.0004883351793978363,173205084.82497305,173205134.3040311
149,0.00048828125,0.0004883299552602693,173205084.82497305,173205134.3040311
150,0.0002609677903819829,0.00026158432592637837,173205084.82497305,173205134.3040311
151,0.0002519451081752777,0.0002519291871934115,173205084.82497305,173205134.30403113
152,0.000244140625,0.0002441229298710823,173205084.82497305,173205134.3040311
153,0.00048828125,0.0004882862558588386,173205084.82497305,173205134.30403113
154,0.00043391482904553413,0.0004340037703514099,173205084.82497305,173205134.30403113
155,0.000244140625,0.0002441809047013521,173205084.82497305,173205134.3040311
156,0.00048828125,0.0004882438952336088,173205084.82497305,173205134.3040311
157,0.00048828125,0.0004882651410298422,173205084.82497305,173205134.30403113
158,0.0002609677903819829,0.00026142600108869374,173205084.82497305,173205134.30403113
159,0.0002519451081752777,0.00025155231386975174,173205084.82497305,173205134.30403113
160,0.000244140625,0.00024414132349193096,173205084.82497305,173205134.30403113
161,0.00048828125,0.0004882823559455574,173205084.82497305,173205134.3040311
162,0.0004993201000615954,0.0004991079913452268,173205084.82497305,173205134.30403113
163,0.0004993061302229762,0.0004991072928532958,173205084.82497305,173205134.3040311
164,0.000732421875,0.0007323905592784286,173205084.82497305,173205134.30403113
165,0.0006263180403038859,0.0006263145478442311,173205084.82497305,173205134.30403113
166,0.00035290420055389404,0.0003529330551828025,173205084.82497305,173205134.30403113
167,0.00048828125,0.0004882795619778335,173205084.82497305,173205134.30403113
168,0.000732421875,0.0007324221078306437,173205084.82497305,173205134.30403113
169,0.0007162758847698569,0.0007162891561165452,173205084.82497305,173205134.30403113
170,0.00030301138758659363,0.00030403717209992465,173205084.82497305,173205134.30403113
171,0.00032843926283021574,0.0003283183243638632,173205084.82497305,173205134.30403113
172,0.00048828125,0.0004883161745965481,173205084.82497305,173205134.30403113
173,0.0004993201000615954,0.0004993065958842635,173205084.82497305,173205134.3040311
174,0.00048828125,0.0004882813082076609,173205084.82497305,173205134.3040311
175,0.0003439438296481967,0.00034390774089843035,173205084.82497305,173205134.30403113
176,0.00027261488139629364,0.0002732880584517261,173205084.82497305,173205134.30403113
177,0.00048828125,0.0004882799694314599,173205084.82497305,173205134.3040311
178,0.0003439438296481967,0.0003441140288487077,173205084.82497305,173205134.30403113
179,0.00027261488139629364,0.00027213360044697765,173205084.82497305,173205134.3040311
180,0.00048828125,0.0004882910434389487,173205084.82497305,173205134.30403113
181,0.00048828125,0.0004882743814960122,173205084.82497305,173205134.3040311
182,0.0002609677903819829,0.0002611633681226522,173205084.82497305,173205134.30403113
183,0.00048828125,0.00048827973660081625,173205084.82497305,173205134.3040311
184,0.0003439438296481967,0.00034394150134176016,173205084.82497305,173205134.3040311
185,0.0002823610557243228,0.0002823009854182601,173205084.82497305,173205134.30403113
186,0.0002927368432210642,0.00029267299524349255,173205084.82497305,173205134.30403113
187,0.00019252751170029114,0.00019287791684519107,173205084.82497305,173205134.3040311
188,0.00048828125,0.0004882882494712248,173205084.82497305,173205134.3040311
189,0.00048828125,0.0004882405191892758,173205084.82497305,173205134.3040311
190,0.0002770721912384033,0.0002770735219073117,173205084.82497305,173205134.30403113
191,0.00026668235659599304,0.00026669557315273096,173205084.82497305,173205134.30403113
192,0.0002415231429040432,0.0002415347844362259,173205084.82497305,173205134.30403113
193,0.000244140625,0.00024414219660684466,173205084.82497305,173205134.3040311
194,0.00021781958457722794,0.00021776556786790024,173205084.82497305,173205134.30403113
195,0.0001923181116580963,0.0001929264358295768,173205084.82497305,173205134.30403113
196,0.00048828125,0.0004882505163550377,173205084.82497305,173205134.30403113
197,0.00043391482904553413,0.0004339085426181555,173205084.82497305,173205134.30403113
198,0.00048828125,0.000488279911223799,173205084.82497305,173205134.3040311
199,0.0003439438296481967,0.00034395314287394285,173205084.82497305,173205134.30403113
200,0.0002823610557243228,0.000282350811176002,173205084.82497305,173205134.30403113
201,0.00048828125,0.0004882817738689482,173205084.82497305,173205134.30403113
202,0.00043391482904553413,0.00043393904343247414,173205084.82497305,173205134.30403113
203,0.00022271275520324707,0.0002230932032034616,173205084.82497305,173205134.3040311
204,0.00048828125,0.0004882786306552589,173205084.82497305,173205134.3040311
205,0.0004993201000615954,0.000499327783472836,173205084.82497305,173205134.30403113
206,0.000244140625,0.00024414120707660913,173205084.82497305,173205134.30403113
207,0.000244140625,0.00024414079962298274,173205084.82497305,173205134.3040311
208,0.00037233205512166023,0.00037236069329082966,173205084.82497305,173205134.3040311
209,0.00048828125,0.0004882815410383046,173205084.82497305,173205134.30403113
210,0.0004993201000615954,0.0004993205657228827,173205084.82497305,173205134.30403113
211,0.00019164569675922394,0.0001917302724905312,173205084.82497305,173205134.3040311
212,0.000244140625,0.0002441432443447411,173205084.82497305,173205134.30403113
213,0.000732421875,0.0007324215839616954,173205084.82497305,173205134.30403113
214,0.0007162758847698569,0.0007162069668993354,173205084.82497305,173205134.30403113
215,0.00043391482904553413,0.0004339306615293026,173205084.82497305,173205134.30403113
216,0.00032843926283021574,0.00032837547979625015,173205084.82497305,173205134.30403113
217,0.00024568364233346074,0.00024519721108617887,173205084.82497305,173205134.3040311
218,0.0002169557847082615,0.00021694856695830822,173205084.82497305,173205134.30403113
219,0.00017618642277739127,0.00017617334015085362,173205084.82497305,173205134.3040311
220,0.00048828125,0.0004882824141532183,173205084.82497305,173205134.30403113
221,0.0003439438296481967,0.0003439363790675998,173205084.82497305,173205134.3040311
222,0.00048828125,0.0004882831126451492,173205084.82497305,173205134.3040311
223,0.000732421875,0.0007324241450987756,173205084.82497305,173205134.30403113
224,0.0007162758847698569,0.0007162672700360417,173205084.82497305,173205134.3040311
225,0.00048828125,0.0004882804350927472,173205084.82497305,173205134.30403113
226,0.0003439438296481967,0.00034387235064059496,173205084.82497305,173205134.3040311
227,0.00027261488139629364,0.0002725870108406525,173205084.82497305,173205134.3040311
228,0.0002927368432210642,0.0002926608959370469,173205084.82497305,173205134.3040311
229,0.000244140625,0.000244144001044333,173205084.82497305,173205134.3040311
230,0.000244140625,0.0002441398100927472,173205084.82497305,173205134.30403113
231,0.000244140625,0.00024414010113105178,173205084.82497305,173205134.30403113
232,0.00020151236230958602,0.00020283500907680718,173205084.82497305,173205134.30403113
233,0.000244140625,0.00024414079962298274,173205084.82497305,173205134.3040311
234,0.000244140625,0.0002441436517983675,173205084.82497305,173205134.30403113
235,0.0001799403689801693,0.00017987494356930256,173205084.82497305,173205134.3040311
236,0.000244140625,0.0002441406832076609,173205084.82497305,173205134.3040311
237,0.00048828125,0.00048827723367139697,173205084.82497305,173205134.30403113
238,0.00048828125,0.0004882813082076609,173205084.82497305,173205134.30403113
239,0.0003439438296481967,0.00034396175760775805,173205084.82497305,173205134.3040311
240,0.0002927368432210642,0.0002922177714026475,173205084.82497305,173205134.30403113
241,0.0002927368432210642,0.00029270934217606737,173205084.82497305,173205134.3040311
242,0.000732421875,0.0007324210600927472,173205084.82497305,173205134.3040311
243,0.0007162758847698569,0.0007162679685279727,173205084.82497305,173205134.3040311
244,0.00030301138758659363,0.000303060422083945,173205084.82497305,173205134.3040311
245,0.00037233205512166023,0.0003723376430571079,173205084.82497305,173205134.3040311
246,0.000244140625,0.00024414173094555736,173205084.82497305,173205134.30403113
247,0.0002415231429040432,0.00024156575091183186,173205084.82497305,173205134.3040311
248,0.000244140625,0.00024414120707660913,173205084.82497305,173205134.3040311
249,0.000372336246073246,0.00037233601324260235,173205084.82497305,173205134.30403113
250,0.00037233205512166023,0.00037240306846797466,173205084.82497305,173205134.30403113
251,0.00020130026314291172,0.00020037447302456712,173205084.82497305,173205134.30403113
252,0.000244140625,0.0002441419055685401,173205084.82497305,173205134.30403113
253,0.000244140625,0.0002441427204757929,173205084.82497305,173205134.30403113
254,0.0002823610557243228,0.0002823610557243228,173205084.82497305,173205134.3040311
255,0.0002823610557243228,0.0002822953974828124,173205084.82497305,173205134.30403113
256,0.000244140625,0.0002441414399072528,173205084.82497305,173205134.30403113
257,0.000244140625,0.0002441406832076609,173205084.82497305,173205134.3040311
258,0.000244140625,0.0002441414981149137,173205084.82497305,173205134.3040311
259,0.0002823610557243228,0.00028239714447408915,173205084.82497305,173205134.3040311
260,0.000732421875,0.0007324223406612873,173205084.82497305,173205134.3040311
261,0.0007162758847698569,0.0007162467809394002,173205084.82497305,173205134.3040311
262,0.00037233205512166023,0.00037232344038784504,173205084.82497305,173205134.3040311
263,0.00032843926283021574,0.0003285585389107837,173205084.82497305,173205134.3040311
264,0.000732421875,0.0007324231555685401,173205084.82497305,173205134.3040311
265,0.000732421875,0.0007324212929233909,173205084.82497305,173205134.30403113
266,0.0007162758847698569,0.0007162956753745675,173205084.82497305,173205134.30403113
267,0.00037233205512166023,0.0003723353147506714,173205084.82497305,173205134.3040311
268,0.0003284392623754684,0.00032834575307560954,173205084.82497305,173205134.3040311
269,0.000244140625,0.000244143302552402,173205084.82497305,173205134.30403113
270,0.00017628362797950103,0.00017623484336581896,173205084.82497305,173205134.30403113
271,0.000244140625,0.0002441405667923391,173205084.82497305,173205134.30403113
272,0.000244140625,0.00024413969367742538,173205084.82497305,173205134.3040311
273,0.000244140625,0.000244141963776201,173205084.82497305,173205134.30403113
274,0.000244140625,0.0002441407414153218,173205084.82497305,173205134.30403113
275,0.00016988603829304338,0.00016922723764878356,173205084.82497305,173205134.30403113
276,0.000244140625,0.00024414045037701726,173205084.82497305,173205134.3040311
277,0.000732421875,0.0007324214675463736,173205084.82497305,173205134.3040311
278,0.0007162758847698569,0.0007162055699154735,173205084.82497305,173205134.3040311
279,0.000732421875,0.0007324185571633279,173205084.82497305,173205134.3040311
280,0.0007162758847698569,0.0007162861293181777,173205084.82497305,173205134.3040311
281,0.00030301138758659363,0.0003029635581697221,173205084.82497305,173205134.30403113
282,0.000732421875,0.0007324207108467817,173205084.82497305,173205134.3040311
283,0.0007162758847698569,0.0007163150003179908,173205084.82497305,173205134.3040311
284,0.00030301138758659363,0.00030338550686792587,173205084.82497305,173205134.30403113
285,0.00037233205512166023,0.00037237885408103466,173205084.82497305,173205134.3040311
286,0.00021631979001313084,0.0002161808374978591,173205084.82497305,173205134.30403113
287,0.000244140625,0.00024414010113105178,173205084.82497305,173205134.30403113
288,0.00048828125,0.0004882836947217584,173205084.82497305,173205134.30403113
289,0.00048828125,0.0004882817738689482,173205084.82497305,173205134.3040311
290,0.0003439438296481967,0.00034387095365673304,173205084.82497305,173205134.3040311
291,0.0002927368432210642,0.00029261482318077014,173205084.82497305,173205134.30403113
292,0.0002927368432210642,0.00029247178846958377,173205084.82497305,173205134.30403113
293,0.000244140625,0.0002441444084979594,173205084.82497305,173205134.30403113
294,0.0002823610557243228,0.00028232636395841837,173205084.82497305,173205134.30403113
295,0.000244140625,0.00024414208019152284,173205084.82497305,173205134.30403113
296,0.0002823610557243228,0.0002823489485308528,173205084.82497305,173205134.30403113
297,0.000244140625,0.00024414085783064365,173205084.82497305,173205134.3040311
298,0.000244140625,0.00024414132349193096,173205084.82497305,173205134.30403113
299,0.000732421875,0.0007324200705625117,173205084.82497305,173205134.3040311
300,0.0007162758847698569,0.0007162421243265271,173205084.82497305,173205134.3040311
301,0.00030301138758659363,0.00030354550790434587,173205084.82497305,173205134.30403113
302,0.00037233205512166023,0.0003723979461938143,173205084.82497305,173205134.3040311
303,0.000216261532699491,0.00021619304342834766,173205084.82497305,173205134.3040311
304,0.000244140625,0.0002441422548145056,173205084.82497305,173205134.3040311
305,0.000244140625,0.0002441418473608792,173205084.82497305,173205134.3040311
306,0.00048828125,0.0004882809007540345,173205084.82497305,173205134.3040311
307,0.0003439438296481967,0.00034395919647067785,173205084.82497305,173205134.3040311
308,0.00027261488139629364,0.0002728827948885737,173205084.82497305,173205134.30403113
309,0.0002927368432210642,0.00029263937912560323,173205084.82497305,173205134.30403113
310,0.00019253493803716992,0.00019252738232466982,173205084.82497305,173205134.30403113
311,0.0001240985577766196,0.00012401371770920377,173205084.82497305,173205134.30403113
312,0.00048828125,0.00048827932914718986,173205084.82497305,173205134.30403113
313,0.00043391482904553413,0.0004339225124567747,173205084.82497305,173205134.30403113
314,0.00037233205512166023,0.00037233997136354446,173205084.82497305,173205134.3040311
315,0.0002456836418787134,0.00024522446273067544,173205084.82497305,173205134.3040311
316,0.000732421875,0.0007324222242459655,173205084.82497305,173205134.3040311
317,0.0007162758847698569,0.0007163275731727481,173205084.82497305,173205134.30403113
318,0.00030301138758659363,0.00030344713741214946,173205084.82497305,173205134.30403113
319,0.00032843926283021574,0.0003286431172284665,173205084.82497305,173205134.3040311
320,0.00048828125,0.00048827851423993707,173205084.82497305,173205134.3040311
321,0.0004993201000615954,0.0004993375623598695,173205084.82497305,173205134.3040311
322,0.000244140625,0.00024414219660684466,173205084.82497305,173205134.30403113
323,0.00048828125,0.0004882817738689482,173205084.82497305,173205134.3040311
324,0.0003439438296481967,0.00034394871909171343,173205084.82497305,173205134.30403113
325,0.00027261488139629364,0.0002724677983678703,173205084.82497305,173205134.30403113
326,0.0002927368432210642,0.00029256360691931604,173205084.82497305,173205134.30403113
327,0.00019248368820967698,0.000192479435753512,173205084.82497305,173205134.30403113
328,0.000244140625,0.000244140625,173205084.82497305,173205134.30403113
329,0.00048828125,0.000488277873955667,173205084.82497305,173205134.30403113
330,0.0004993061302229762,0.0004993126494809985,173205084.82497305,173205134.30403113
331,0.00037233205512166023,0.00037235813215374947,173205084.82497305,173205134.3040311
332,0.000244140625,0.0002441427204757929,173205084.82497305,173205134.3040311
333,0.000732421875,0.0007324214675463736,173205084.82497305,173205134.30403113
334,0.000732421875,0.0007324234466068447,173205084.82497305,173205134.3040311
335,0.0007162758847698569,0.000716269132681191,173205084.82497305,173205134.30403113
336,0.0003284392623754684,0.0003284613660952118,173205084.82497305,173205134.30403113
337,0.0003284392623754684,0.00032851056140259516,173205084.82497305,173205134.3040311
338,0.000244140625,0.0002441410324536264,173205084.82497305,173205134.3040311
339,0.000244140625,0.00024414161453023553,173205084.82497305,173205134.3040311
340,0.00048828125,0.00048828095896169543,173205084.82497305,173205134.30403113
341,0.0003439438296481967,0.0003439335850998759,173205084.82497305,173205134.3040311
342,0.00027261488139629364,0.0002724450696405256,173205084.82497305,173205134.3040311
343,0.0002927368432210642,0.00029258346134497515,173205084.82497305,173205134.3040311
344,0.00019249526641829107,0.0001920850147314468,173205084.82497305,173205134.3040311
345,0.00048828125,0.0004882813664153218,173205084.82497305,173205134.3040311
346,0.000732421875,0.0007324199541471899,173205084.82497305,173205134.3040311
347,0.0007162758847698569,0.0007163517875596881,173205084.82497305,173205134.30403113
348,0.00037233205512166023,0.00037235510535538197,173205084.82497305,173205134.3040311
349,0.0003284392623754684,0.00032827706564830805,173205084.82497305,173205134.3040311
350,0.000244140625,0.00024414132349193096,173205084.82497305,173205134.30403113
351,0.000244140625,0.00024414254585281014,173205084.82497305,173205134.3040311
352,0.00018008612096309662,0.00018040420809484203,173205084.82497305,173205134.30403113
353,0.000244140625,0.00024414027575403452,173205084.82497305,173205134.3040311
354,0.000244140625,0.0002441393444314599,173205084.82497305,173205134.30403113
355,0.000244140625,0.00024414167273789644,173205084.82497305,173205134.3040311
356,0.000244140625,0.00024414173094555736,173205084.82497305,173205134.30403113
357,0.00048828125,0.0004882814828306437,173205084.82497305,173205134.3040311
358,0.00048828125,0.0004882817156612873,173205084.82497305,173205134.3040311
359,0.000732421875,0.0007324192556552589,173205084.82497305,173205134.30403113
360,0.0007162758847698569,0.0007163042901083827,173205084.82497305,173205134.30403113
361,0.00048828125,0.0004882826469838619,173205084.82497305,173205134.3040311
362,0.00043391482904553413,0.0004338757134974003,173205084.82497305,173205134.3040311
363,0.000732421875,0.0007324191392399371,173205084.82497305,173205134.3040311
364,0.0007162758847698569,0.0007163326954469085,173205084.82497305,173205134.30403113
365,0.00037233205512166023,0.00037235673516988754,173205084.82497305,173205134.3040311
366,0.0003284392623754684,0.0003285255703247003,173205084.82497305,173205134.30403113
367,0.000244140625,0.00024414027575403452,173205084.82497305,173205134.3040311
368,0.000244140625,0.0002441419055685401,173205084.82497305,173205134.3040311
369,0.00048828125,0.00048828055150806904,173205084.82497305,173205134.30403113
370,0.00043391482904553413,0.000433863140642643,173205084.82497305,173205134.30403113
371,0.00037233205512166023,0.00037226988933980465,173205084.82497305,173205134.3040311
372,0.00024568364233346074,0.00024512877064353233,173205084.82497305,173205134.3040311
373,0.00048828125,0.0004882851499132812,173205084.82497305,173205134.3040311
374,0.00048828125,0.0004882822395302355,173205084.82497305,173205134.3040311
375,0.00043391482904553413,0.0004339069128036499,173205084.82497305,173205134.30403113
376,0.000732421875,0.0007324200123548508,173205084.82497305,173205134.3040311
377,0.0007162758847698569,0.0007163019618019462,173205084.82497305,173205134.3040311
378,0.0004993201000615954,0.0004993086913600564,173205084.82497305,173205134.30403113
379,0.0003284392623754684,0.00032836901853272593,173205084.82497305,173205134.30403113
380,0.000732421875,0.000732423213776201,173205084.82497305,173205134.3040311
381,0.0007162758847698569,0.0007162817055359483,173205084.82497305,173205134.30403113
382,0.0004993201000615954,0.0004993994953110814,173205084.82497305,173205134.30403113
383,0.0004993201000615954,0.0004993350012227893,173205084.82497305,173205134.30403113
384,0.00037233205512166023,0.0003722822293639183,173205084.82497305,173205134.3040311
385,0.000244140625,0.000244140625,173205084.82497305,173205134.30403113
