factor_id,factor_type,target_idx,target_var_id,other_idx,other_var_id
113,odometry,1,114,0,113
114,odometry,0,114,1,115
114,odometry,1,115,0,114
115,odometry,0,115,1,116
115,odometry,1,116,0,115
116,odometry,0,116,1,117
116,odometry,1,117,0,116
117,odometry,0,117,1,118
117,odometry,1,118,0,117
118,odometry,0,118,1,119
118,odometry,1,119,0,118
119,odometry,0,119,1,120
119,odometry,1,120,0,119
120,odometry,0,120,1,121
120,odometry,1,121,0,120
121,odometry,0,121,1,122
121,odometry,1,122,0,121
122,odometry,0,122,1,123
122,odometry,1,123,0,122
123,odometry,0,123,1,124
123,odometry,1,124,0,123
124,odometry,0,124,1,125
124,odometry,1,125,0,124
125,odometry,0,125,1,126
125,odometry,1,126,0,125
126,odometry,0,126,1,127
126,odometry,1,127,0,126
127,odometry,0,127,1,128
127,odometry,1,128,0,127
128,odometry,0,128,1,129
128,odometry,1,129,0,128
129,odometry,0,129,1,130
129,odometry,1,130,0,129
130,odometry,0,130,1,131
130,odometry,1,131,0,130
131,odometry,0,131,1,132
131,odometry,1,132,0,131
132,odometry,0,132,1,133
132,odometry,1,133,0,132
133,odometry,0,133,1,134
133,odometry,1,134,0,133
134,odometry,0,134,1,135
134,odometry,1,135,0,134
135,odometry,0,135,1,136
135,odometry,1,136,0,135
136,odometry,0,136,1,137
136,odometry,1,137,0,136
137,odometry,0,137,1,138
137,odometry,1,138,0,137
138,odometry,0,138,1,139
138,odometry,1,139,0,138
139,odometry,0,139,1,140
139,odometry,1,140,0,139
140,odometry,0,140,1,141
140,odometry,1,141,0,140
141,odometry,0,141,1,142
141,odometry,1,142,0,141
142,odometry,0,142,1,143
142,odometry,1,143,0,142
143,odometry,0,143,1,144
143,odometry,1,144,0,143
144,odometry,0,144,1,145
144,odometry,1,145,0,144
145,odometry,0,145,1,146
145,odometry,1,146,0,145
146,odometry,0,146,1,147
146,odometry,1,147,0,146
147,odometry,0,147,1,148
147,odometry,1,148,0,147
148,odometry,0,148,1,149
148,odometry,1,149,0,148
149,odometry,0,149,1,150
149,odometry,1,150,0,149
150,odometry,0,150,1,151
150,odometry,1,151,0,150
151,odometry,0,151,1,152
151,odometry,1,152,0,151
152,odometry,0,152,1,153
152,odometry,1,153,0,152
153,odometry,0,153,1,154
153,odometry,1,154,0,153
154,odometry,0,154,1,155
154,odometry,1,155,0,154
155,odometry,0,155,1,156
155,odometry,1,156,0,155
156,odometry,0,156,1,157
156,odometry,1,157,0,156
157,odometry,0,157,1,158
157,odometry,1,158,0,157
158,odometry,0,158,1,159
158,odometry,1,159,0,158
159,odometry,0,159,1,160
159,odometry,1,160,0,159
160,odometry,0,160,1,161
160,odometry,1,161,0,160
161,odometry,0,161,1,162
161,odometry,1,162,0,161
162,odometry,0,162,1,163
162,odometry,1,163,0,162
163,odometry,0,163,1,164
163,odometry,1,164,0,163
164,odometry,0,164,1,165
164,odometry,1,165,0,164
165,odometry,0,165,1,166
165,odometry,1,166,0,165
166,odometry,0,166,1,167
166,odometry,1,167,0,166
167,odometry,0,167,1,168
167,odometry,1,168,0,167
168,odometry,0,168,1,169
168,odometry,1,169,0,168
169,odometry,0,169,1,170
169,odometry,1,170,0,169
170,odometry,0,170,1,171
170,odometry,1,171,0,170
171,odometry,0,171,1,172
171,odometry,1,172,0,171
172,odometry,0,172,1,173
172,odometry,1,173,0,172
173,odometry,0,173,1,174
173,odometry,1,174,0,173
174,odometry,0,174,1,175
174,odometry,1,175,0,174
175,odometry,0,175,1,176
175,odometry,1,176,0,175
176,odometry,0,176,1,177
176,odometry,1,177,0,176
177,odometry,0,177,1,178
177,odometry,1,178,0,177
178,odometry,0,178,1,179
178,odometry,1,179,0,178
179,odometry,0,179,1,180
179,odometry,1,180,0,179
180,odometry,0,180,1,181
180,odometry,1,181,0,180
181,odometry,0,181,1,182
181,odometry,1,182,0,181
182,odometry,0,182,1,183
182,odometry,1,183,0,182
183,odometry,0,183,1,184
183,odometry,1,184,0,183
184,odometry,0,184,1,185
184,odometry,1,185,0,184
185,odometry,0,185,1,186
185,odometry,1,186,0,185
186,odometry,0,186,1,187
186,odometry,1,187,0,186
187,odometry,0,187,1,188
187,odometry,1,188,0,187
188,odometry,0,188,1,189
188,odometry,1,189,0,188
189,odometry,0,189,1,190
189,odometry,1,190,0,189
190,odometry,0,190,1,191
190,odometry,1,191,0,190
191,odometry,0,191,1,192
191,odometry,1,192,0,191
192,odometry,0,192,1,193
192,odometry,1,193,0,192
193,odometry,0,193,1,194
193,odometry,1,194,0,193
194,odometry,0,194,1,195
194,odometry,1,195,0,194
195,odometry,0,195,1,196
195,odometry,1,196,0,195
196,odometry,0,196,1,197
196,odometry,1,197,0,196
197,odometry,0,197,1,198
197,odometry,1,198,0,197
198,odometry,0,198,1,199
198,odometry,1,199,0,198
199,odometry,0,199,1,200
199,odometry,1,200,0,199
200,odometry,0,200,1,201
200,odometry,1,201,0,200
201,odometry,0,201,1,202
201,odometry,1,202,0,201
202,odometry,0,202,1,203
202,odometry,1,203,0,202
203,odometry,0,203,1,204
203,odometry,1,204,0,203
204,odometry,0,204,1,205
204,odometry,1,205,0,204
205,odometry,0,205,1,206
205,odometry,1,206,0,205
206,odometry,0,206,1,207
206,odometry,1,207,0,206
207,odometry,0,207,1,208
207,odometry,1,208,0,207
208,odometry,0,208,1,209
208,odometry,1,209,0,208
209,odometry,0,209,1,210
209,odometry,1,210,0,209
210,odometry,0,210,1,211
210,odometry,1,211,0,210
211,odometry,0,211,1,212
211,odometry,1,212,0,211
212,odometry,0,212,1,213
212,odometry,1,213,0,212
213,odometry,0,213,1,214
213,odometry,1,214,0,213
214,odometry,0,214,1,215
214,odometry,1,215,0,214
215,odometry,0,215,1,216
215,odometry,1,216,0,215
216,odometry,0,216,1,217
216,odometry,1,217,0,216
217,odometry,0,217,1,218
217,odometry,1,218,0,217
218,odometry,0,218,1,219
218,odometry,1,219,0,218
219,odometry,0,219,1,220
219,odometry,1,220,0,219
220,odometry,0,220,1,221
220,odometry,1,221,0,220
221,odometry,0,221,1,222
221,odometry,1,222,0,221
222,odometry,0,222,1,223
222,odometry,1,223,0,222
223,odometry,0,223,1,224
223,odometry,1,224,0,223
224,odometry,0,224,1,225
224,odometry,1,225,0,224
225,odometry,0,225,1,226
225,odometry,1,226,0,225
226,odometry,0,226,1,227
226,odometry,1,227,0,226
227,odometry,0,227,1,228
227,odometry,1,228,0,227
228,odometry,0,228,1,229
228,odometry,1,229,0,228
229,odometry,0,229,1,230
229,odometry,1,230,0,229
230,odometry,0,230,1,231
230,odometry,1,231,0,230
231,odometry,0,231,1,232
231,odometry,1,232,0,231
232,odometry,0,232,1,233
232,odometry,1,233,0,232
233,odometry,0,233,1,234
233,odometry,1,234,0,233
234,odometry,0,234,1,235
234,odometry,1,235,0,234
235,odometry,0,235,1,236
235,odometry,1,236,0,235
236,odometry,0,236,1,237
236,odometry,1,237,0,236
237,odometry,0,237,1,238
237,odometry,1,238,0,237
238,odometry,0,238,1,239
238,odometry,1,239,0,238
239,odometry,0,239,1,240
239,odometry,1,240,0,239
240,odometry,0,240,1,241
240,odometry,1,241,0,240
241,odometry,0,241,1,242
241,odometry,1,242,0,241
242,odometry,0,242,1,243
242,odometry,1,243,0,242
243,odometry,0,243,1,244
243,odometry,1,244,0,243
244,odometry,0,244,1,245
244,odometry,1,245,0,244
245,odometry,0,245,1,246
245,odometry,1,246,0,245
246,odometry,0,246,1,247
246,odometry,1,247,0,246
247,odometry,0,247,1,248
247,odometry,1,248,0,247
248,odometry,0,248,1,249
248,odometry,1,249,0,248
249,odometry,0,249,1,250
249,odometry,1,250,0,249
250,odometry,0,250,1,251
250,odometry,1,251,0,250
251,odometry,0,251,1,252
251,odometry,1,252,0,251
252,odometry,0,252,1,253
252,odometry,1,253,0,252
253,odometry,0,253,1,254
253,odometry,1,254,0,253
254,odometry,0,254,1,255
254,odometry,1,255,0,254
255,odometry,0,255,1,256
255,odometry,1,256,0,255
256,odometry,0,256,1,257
256,odometry,1,257,0,256
257,odometry,0,257,1,258
257,odometry,1,258,0,257
258,odometry,0,258,1,259
258,odometry,1,259,0,258
259,odometry,0,259,1,260
259,odometry,1,260,0,259
260,odometry,0,260,1,261
260,odometry,1,261,0,260
261,odometry,0,261,1,262
261,odometry,1,262,0,261
262,odometry,0,262,1,263
262,odometry,1,263,0,262
263,odometry,0,263,1,264
263,odometry,1,264,0,263
264,odometry,0,264,1,265
264,odometry,1,265,0,264
265,odometry,0,265,1,266
265,odometry,1,266,0,265
266,odometry,0,266,1,267
266,odometry,1,267,0,266
267,odometry,0,267,1,268
267,odometry,1,268,0,267
268,odometry,0,268,1,269
268,odometry,1,269,0,268
269,odometry,0,269,1,270
269,odometry,1,270,0,269
270,odometry,0,270,1,271
270,odometry,1,271,0,270
271,odometry,0,271,1,272
271,odometry,1,272,0,271
272,odometry,0,272,1,273
272,odometry,1,273,0,272
273,odometry,0,273,1,274
273,odometry,1,274,0,273
274,odometry,0,274,1,275
274,odometry,1,275,0,274
275,odometry,0,275,1,276
275,odometry,1,276,0,275
276,odometry,0,276,1,277
276,odometry,1,277,0,276
277,odometry,0,277,1,278
277,odometry,1,278,0,277
278,odometry,0,278,1,279
278,odometry,1,279,0,278
279,odometry,0,279,1,280
279,odometry,1,280,0,279
280,odometry,0,280,1,281
280,odometry,1,281,0,280
281,odometry,0,281,1,282
281,odometry,1,282,0,281
282,odometry,0,282,1,283
282,odometry,1,283,0,282
283,odometry,0,283,1,284
283,odometry,1,284,0,283
284,odometry,0,284,1,285
284,odometry,1,285,0,284
285,odometry,0,285,1,286
285,odometry,1,286,0,285
286,odometry,0,286,1,287
286,odometry,1,287,0,286
287,odometry,0,287,1,288
287,odometry,1,288,0,287
288,odometry,0,288,1,289
288,odometry,1,289,0,288
289,odometry,0,289,1,290
289,odometry,1,290,0,289
290,odometry,0,290,1,291
290,odometry,1,291,0,290
291,odometry,0,291,1,292
291,odometry,1,292,0,291
292,odometry,0,292,1,293
292,odometry,1,293,0,292
293,odometry,0,293,1,294
293,odometry,1,294,0,293
294,odometry,0,294,1,295
294,odometry,1,295,0,294
295,odometry,0,295,1,296
295,odometry,1,296,0,295
296,odometry,0,296,1,297
296,odometry,1,297,0,296
297,odometry,0,297,1,298
297,odometry,1,298,0,297
298,odometry,0,298,1,299
298,odometry,1,299,0,298
299,odometry,0,299,1,300
299,odometry,1,300,0,299
300,odometry,0,300,1,301
300,odometry,1,301,0,300
301,odometry,0,301,1,302
301,odometry,1,302,0,301
302,odometry,0,302,1,303
302,odometry,1,303,0,302
303,odometry,0,303,1,304
303,odometry,1,304,0,303
304,odometry,0,304,1,305
304,odometry,1,305,0,304
305,odometry,0,305,1,306
305,odometry,1,306,0,305
306,odometry,0,306,1,307
306,odometry,1,307,0,306
307,odometry,0,307,1,308
307,odometry,1,308,0,307
308,odometry,0,308,1,309
308,odometry,1,309,0,308
309,odometry,0,309,1,310
309,odometry,1,310,0,309
310,odometry,0,310,1,311
310,odometry,1,311,0,310
311,odometry,0,311,1,312
311,odometry,1,312,0,311
312,odometry,0,312,1,313
312,odometry,1,313,0,312
313,odometry,0,313,1,314
313,odometry,1,314,0,313
314,odometry,0,314,1,315
314,odometry,1,315,0,314
315,odometry,0,315,1,316
315,odometry,1,316,0,315
316,odometry,0,316,1,317
316,odometry,1,317,0,316
317,odometry,0,317,1,318
317,odometry,1,318,0,317
318,odometry,0,318,1,319
318,odometry,1,319,0,318
319,odometry,0,319,1,320
319,odometry,1,320,0,319
320,odometry,0,320,1,321
320,odometry,1,321,0,320
321,odometry,0,321,1,322
321,odometry,1,322,0,321
322,odometry,0,322,1,323
322,odometry,1,323,0,322
323,odometry,0,323,1,324
323,odometry,1,324,0,323
324,odometry,0,324,1,325
324,odometry,1,325,0,324
325,odometry,0,325,1,326
325,odometry,1,326,0,325
326,odometry,0,326,1,327
326,odometry,1,327,0,326
327,odometry,0,327,1,328
327,odometry,1,328,0,327
328,odometry,0,328,1,329
328,odometry,1,329,0,328
329,odometry,0,329,1,330
329,odometry,1,330,0,329
330,odometry,0,330,1,331
330,odometry,1,331,0,330
331,odometry,0,331,1,332
331,odometry,1,332,0,331
332,odometry,0,332,1,333
332,odometry,1,333,0,332
333,odometry,0,333,1,334
333,odometry,1,334,0,333
334,odometry,0,334,1,335
334,odometry,1,335,0,334
335,odometry,0,335,1,336
335,odometry,1,336,0,335
336,odometry,0,336,1,337
336,odometry,1,337,0,336
337,odometry,0,337,1,338
337,odometry,1,338,0,337
338,odometry,0,338,1,339
338,odometry,1,339,0,338
339,odometry,0,339,1,340
339,odometry,1,340,0,339
340,odometry,0,340,1,341
340,odometry,1,341,0,340
341,odometry,0,341,1,342
341,odometry,1,342,0,341
342,odometry,0,342,1,343
342,odometry,1,343,0,342
343,odometry,0,343,1,344
343,odometry,1,344,0,343
344,odometry,0,344,1,345
344,odometry,1,345,0,344
345,odometry,0,345,1,346
345,odometry,1,346,0,345
346,odometry,0,346,1,347
346,odometry,1,347,0,346
347,odometry,0,347,1,348
347,odometry,1,348,0,347
348,odometry,0,348,1,349
348,odometry,1,349,0,348
349,odometry,0,349,1,350
349,odometry,1,350,0,349
350,odometry,0,350,1,351
350,odometry,1,351,0,350
351,odometry,0,351,1,352
351,odometry,1,352,0,351
352,odometry,0,352,1,353
352,odometry,1,353,0,352
353,odometry,0,353,1,354
353,odometry,1,354,0,353
354,odometry,0,354,1,355
354,odometry,1,355,0,354
355,odometry,0,355,1,356
355,odometry,1,356,0,355
356,odometry,0,356,1,357
356,odometry,1,357,0,356
357,odometry,0,357,1,358
357,odometry,1,358,0,357
358,odometry,0,358,1,359
358,odometry,1,359,0,358
359,odometry,0,359,1,360
359,odometry,1,360,0,359
360,odometry,0,360,1,361
360,odometry,1,361,0,360
361,odometry,0,361,1,362
361,odometry,1,362,0,361
362,odometry,0,362,1,363
362,odometry,1,363,0,362
363,odometry,0,363,1,364
363,odometry,1,364,0,363
364,odometry,0,364,1,365
364,odometry,1,365,0,364
365,odometry,0,365,1,366
365,odometry,1,366,0,365
366,odometry,0,366,1,367
366,odometry,1,367,0,366
367,odometry,0,367,1,368
367,odometry,1,368,0,367
368,odometry,0,368,1,369
368,odometry,1,369,0,368
369,odometry,0,369,1,370
369,odometry,1,370,0,369
370,odometry,0,370,1,371
370,odometry,1,371,0,370
371,odometry,0,371,1,372
371,odometry,1,372,0,371
372,odometry,0,372,1,373
372,odometry,1,373,0,372
373,odometry,0,373,1,374
373,odometry,1,374,0,373
374,odometry,0,374,1,375
374,odometry,1,375,0,374
375,odometry,0,375,1,376
375,odometry,1,376,0,375
376,odometry,0,376,1,377
376,odometry,1,377,0,376
377,odometry,0,377,1,378
377,odometry,1,378,0,377
378,odometry,0,378,1,379
378,odometry,1,379,0,378
379,odometry,0,379,1,380
379,odometry,1,380,0,379
380,odometry,0,380,1,381
380,odometry,1,381,0,380
381,odometry,0,381,1,382
381,odometry,1,382,0,381
382,odometry,0,382,1,383
382,odometry,1,383,0,382
383,odometry,0,383,1,384
383,odometry,1,384,0,383
384,odometry,0,384,1,385
384,odometry,1,385,0,384
385,odometry,0,385,1,386
385,odometry,1,386,0,385
386,odometry,0,386,1,387
386,odometry,1,387,0,386
387,odometry,0,387,1,388
387,odometry,1,388,0,387
388,odometry,0,388,1,389
388,odometry,1,389,0,388
389,odometry,0,389,1,390
389,odometry,1,390,0,389
390,odometry,0,390,1,391
390,odometry,1,391,0,390
391,odometry,0,391,1,392
391,odometry,1,392,0,391
392,odometry,0,392,1,393
392,odometry,1,393,0,392
393,odometry,0,393,1,394
393,odometry,1,394,0,393
394,odometry,0,394,1,395
394,odometry,1,395,0,394
395,odometry,0,395,1,396
395,odometry,1,396,0,395
396,odometry,0,396,1,397
396,odometry,1,397,0,396
397,odometry,0,397,1,398
397,odometry,1,398,0,397
398,odometry,0,398,1,399
398,odometry,1,399,0,398
399,odometry,0,399,1,400
399,odometry,1,400,0,399
400,odometry,0,400,1,401
400,odometry,1,401,0,400
401,odometry,0,401,1,402
401,odometry,1,402,0,401
402,odometry,0,402,1,403
402,odometry,1,403,0,402
403,odometry,0,403,1,404
403,odometry,1,404,0,403
404,odometry,0,404,1,405
404,odometry,1,405,0,404
405,odometry,0,405,1,406
405,odometry,1,406,0,405
406,odometry,0,406,1,407
406,odometry,1,407,0,406
407,odometry,0,407,1,408
407,odometry,1,408,0,407
408,odometry,0,408,1,409
408,odometry,1,409,0,408
409,odometry,0,409,1,410
409,odometry,1,410,0,409
410,odometry,0,410,1,411
410,odometry,1,411,0,410
411,odometry,0,411,1,412
411,odometry,1,412,0,411
412,odometry,0,412,1,413
412,odometry,1,413,0,412
413,odometry,0,413,1,414
413,odometry,1,414,0,413
414,odometry,0,414,1,415
414,odometry,1,415,0,414
415,odometry,0,415,1,416
415,odometry,1,416,0,415
416,odometry,0,416,1,417
416,odometry,1,417,0,416
417,odometry,0,417,1,418
417,odometry,1,418,0,417
418,odometry,0,418,1,419
418,odometry,1,419,0,418
419,odometry,0,419,1,420
419,odometry,1,420,0,419
420,odometry,0,420,1,421
420,odometry,1,421,0,420
421,odometry,0,421,1,422
421,odometry,1,422,0,421
422,odometry,0,422,1,423
422,odometry,1,423,0,422
423,odometry,0,423,1,424
423,odometry,1,424,0,423
424,odometry,0,424,1,425
424,odometry,1,425,0,424
425,odometry,0,425,1,426
425,odometry,1,426,0,425
426,odometry,0,426,1,427
426,odometry,1,427,0,426
427,odometry,0,427,1,428
427,odometry,1,428,0,427
428,odometry,0,428,1,429
428,odometry,1,429,0,428
429,odometry,0,429,1,430
429,odometry,1,430,0,429
430,odometry,0,430,1,431
430,odometry,1,431,0,430
431,odometry,0,431,1,432
431,odometry,1,432,0,431
432,odometry,0,432,1,433
432,odometry,1,433,0,432
433,odometry,0,433,1,434
433,odometry,1,434,0,433
434,odometry,0,434,1,435
434,odometry,1,435,0,434
435,odometry,0,435,1,436
435,odometry,1,436,0,435
436,odometry,0,436,1,437
436,odometry,1,437,0,436
437,odometry,0,437,1,438
437,odometry,1,438,0,437
438,odometry,0,438,1,439
438,odometry,1,439,0,438
439,odometry,0,439,1,440
439,odometry,1,440,0,439
440,odometry,0,440,1,441
440,odometry,1,441,0,440
441,odometry,0,441,1,442
441,odometry,1,442,0,441
442,odometry,0,442,1,443
442,odometry,1,443,0,442
443,odometry,0,443,1,444
443,odometry,1,444,0,443
444,odometry,0,444,1,445
444,odometry,1,445,0,444
445,odometry,0,445,1,446
445,odometry,1,446,0,445
446,odometry,0,446,1,447
446,odometry,1,447,0,446
447,odometry,0,447,1,448
447,odometry,1,448,0,447
448,odometry,0,448,1,449
448,odometry,1,449,0,448
449,odometry,0,449,1,450
449,odometry,1,450,0,449
450,odometry,0,450,1,451
450,odometry,1,451,0,450
451,odometry,0,451,1,452
451,odometry,1,452,0,451
452,odometry,0,452,1,453
452,odometry,1,453,0,452
453,odometry,0,453,1,454
453,odometry,1,454,0,453
454,odometry,0,454,1,455
454,odometry,1,455,0,454
455,odometry,0,455,1,456
455,odometry,1,456,0,455
456,odometry,0,456,1,457
456,odometry,1,457,0,456
457,odometry,0,457,1,458
457,odometry,1,458,0,457
458,odometry,0,458,1,459
458,odometry,1,459,0,458
459,odometry,0,459,1,460
459,odometry,1,460,0,459
460,odometry,0,460,1,461
460,odometry,1,461,0,460
461,odometry,0,461,1,462
461,odometry,1,462,0,461
462,odometry,0,462,1,463
462,odometry,1,463,0,462
463,odometry,0,463,1,464
463,odometry,1,464,0,463
464,odometry,0,464,1,465
464,odometry,1,465,0,464
465,odometry,0,465,1,466
465,odometry,1,466,0,465
466,odometry,0,466,1,467
466,odometry,1,467,0,466
467,odometry,0,467,1,468
467,odometry,1,468,0,467
468,odometry,0,468,1,469
468,odometry,1,469,0,468
469,odometry,0,469,1,470
469,odometry,1,470,0,469
470,odometry,0,470,1,471
470,odometry,1,471,0,470
471,odometry,0,471,1,472
471,odometry,1,472,0,471
472,odometry,0,472,1,473
472,odometry,1,473,0,472
473,odometry,0,473,1,474
473,odometry,1,474,0,473
474,odometry,0,474,1,475
474,odometry,1,475,0,474
475,odometry,0,475,1,476
475,odometry,1,476,0,475
476,odometry,0,476,1,477
476,odometry,1,477,0,476
477,odometry,0,477,1,478
477,odometry,1,478,0,477
478,odometry,0,478,1,479
478,odometry,1,479,0,478
479,odometry,0,479,1,480
479,odometry,1,480,0,479
480,odometry,0,480,1,481
480,odometry,1,481,0,480
481,odometry,0,481,1,482
481,odometry,1,482,0,481
482,odometry,0,482,1,483
482,odometry,1,483,0,482
483,odometry,0,483,1,484
483,odometry,1,484,0,483
484,odometry,0,484,1,485
484,odometry,1,485,0,484
485,odometry,0,485,1,486
485,odometry,1,486,0,485
486,odometry,0,486,1,487
486,odometry,1,487,0,486
487,odometry,0,487,1,488
487,odometry,1,488,0,487
488,odometry,0,488,1,489
488,odometry,1,489,0,488
489,odometry,0,489,1,490
489,odometry,1,490,0,489
490,odometry,0,490,1,491
490,odometry,1,491,0,490
491,odometry,0,491,1,492
491,odometry,1,492,0,491
492,odometry,0,492,1,493
492,odometry,1,493,0,492
493,odometry,0,493,1,494
493,odometry,1,494,0,493
494,odometry,0,494,1,495
494,odometry,1,495,0,494
495,odometry,0,495,1,496
495,odometry,1,496,0,495
496,odometry,0,496,1,497
496,odometry,1,497,0,496
497,odometry,0,497,1,498
